mcm5.L
pcna.L
tyms.L
fen1.L
mcm2.L
mcm4.L
rrm1.L
ung.L
gins2.L
mcm6.L
cdca7.L
dtl.L
prim1.L
uhrf1.L
cenpu.L
hells.L
rfc2.L
rpa2.L
nasp.L
rad51ap1.L
gmnn.L
wdr76.L
slbp.L
ccne2.L
ubr7.L
pold3.L
msh2.L
atad2.L
rad51.L
rrm2.2.L
cdc45.L
exo1.L
tipin.L
dscc1.L
blm.L
casp8ap2.L
usp1.L
clspn.L
pola1.L
chaf1b.L
brip1.L
e2f8.L
mcm5.S
pcna.S
tyms.S
fen1.S
mcm2.S
mcm4.S
rrm1.S
ung.S
gins2.S
mcm6.S
cdca7.S
dtl.S
prim1.S
uhrf1.S
cenpu.S
hells.S
rfc2.S
rpa2.S
nasp.S
rad51ap1.S
gmnn.S
wdr76.S
slbp.S
ccne2.S
ubr7.S
pold3.S
msh2.S
atad2.S
rad51.S
rrm2.2.S
cdc45.S
exo1.S
tipin.S
dscc1.S
blm.S
casp8ap2.S
usp1.S
clspn.S
pola1.S
chaf1b.S
brip1.S
e2f8.S
